layer,asset_label,elev_min_m,elev_max_m,elev_mean_m,pixel_count,notes
voie,Voie_0,204.01,288.66,226.46,16453,
reseau tiers-fixed,reseau tiers_0,221.73,223.43,222.85,57,
routes,route_0,209.01,267.36,235.07,6625,
routes,route_1,201.11,243.45,216.52,7872,
Talus Terre,Talus Terre_0,205.61,217.02,212.28,1822,
Talus Terre,Talus Terre_1,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_2,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_3,212.62,237.83,229.12,1321,
Talus Terre,Talus Terre_4,214.82,222.43,218.48,2498,
Talus Terre,Talus Terre_5,220.93,266.06,243.08,8071,
Talus Terre,Talus Terre_6,239.03,251.64,245.95,1256,
Talus Terre,Talus Terre_7,234.94,239.64,236.9,1462,
Talus Terre,Talus Terre_8,216.12,235.03,225.26,1372,
Talus Terre,Talus Terre_9,222.43,237.43,231.7,3813,
Talus Terre,Talus Terre_10,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_11,203.31,206.11,205.05,831,
Talus Terre,Talus Terre_12,203.61,214.82,208.21,6316,
Talus Terre,Talus Terre_13,199.81,208.91,205.1,1301,
Talus Terre,Talus Terre_14,206.31,221.42,215.44,5779,
Talus Terre,Talus Terre_15,261.96,271.16,266.64,149,
Talus Terre,Talus Terre_16,261.06,266.96,264.56,64,
Talus Terre,Talus Terre_17,268.86,273.76,271.17,212,
Talus Terre,Talus Terre_18,257.36,283.56,273.43,1217,
Talus Terre,Talus Terre_19,251.15,263.46,256.53,639,
Talus Terre,Talus Terre_20,236.75,254.66,245.52,2425,
Talus Terre,Talus Terre_21,204.51,237.55,218.23,3334,
Talus Terre,Talus Terre_22,208.02,216.53,210.64,813,
Talus Terre,Talus Terre_23,202.61,209.71,205.71,1537,
Talus Terre,Talus Terre_24,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_25,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_26,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_27,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_28,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_29,,,,0,Input shapes do not overlap raster.
Talus Terre,Talus Terre_30,204.91,209.01,206.99,543,
Talus Terre,Talus Terre_31,200.61,202.71,201.91,70,
Talus Terre,Talus Terre_32,202.51,203.61,203.06,210,
Talus Terre,Talus Terre_33,215.12,238.75,225.82,2496,
Talus Terre,Talus Terre_34,238.45,254.66,245.24,955,
Talus Terre,Talus Terre_35,238.95,250.65,242.12,522,
Talus Terre,Talus Terre_36,234.94,237.95,236.41,554,
Talus Terre,Talus Terre_37,212.01,219.62,217.08,216,
Fossé terre revêtu,Fossé terre revêtu_0,238.95,244.45,240.34,75,
Fossé terre revêtu,Fossé terre revêtu_1,239.15,247.75,243.33,73,
Fossé terre revêtu,Fossé terre revêtu_2,221.03,238.25,230.43,826,
Fossé terre revêtu,Fossé terre revêtu_3,221.83,237.45,230.11,799,
Fossé terre revêtu,Fossé terre revêtu_4,236.25,238.05,237.26,42,
Fossé terre revêtu,Fossé terre revêtu_5,211.12,238.25,230.13,1060,
Fossé terre revêtu,Fossé terre revêtu_6,216.52,218.63,217.63,34,
Fossé terre revêtu,Fossé terre revêtu_7,204.01,206.71,205.81,168,
Fossé terre revêtu,Fossé terre revêtu_8,198.41,206.61,203.43,551,
Fossé terre revêtu,Fossé terre revêtu_9,,,,0,Input shapes do not overlap raster.
Fossé terre revêtu,Fossé terre revêtu_10,,,,0,Input shapes do not overlap raster.
Fossé terre revêtu,Fossé terre revêtu_11,,,,0,Input shapes do not overlap raster.
Fossé terre revêtu,Fossé terre revêtu_12,,,,0,Input shapes do not overlap raster.
